SKU,UPC,Name,Wholesale Price,Retail Price, MAP Price 
HIX,055358167004,Hi Lignan Flax Oil 16 fl oz,$9.80 ,$16.30 ,$14.67 
EBLQ,055358114404,Essential Balance? 12 fl oz,$9.15 ,$15.25 ,$13.73 
CMF,055358218003,Cold Milled Flax seeds 500 gm,$4.90 ,$8.15 ,$7.34 
PROS,790011290049,Prostate Optimizer 90 softgels,$18.00 ,$35.95 ,$25.17 
BROC,790011200277,BroccoMax 60 caps,$13.50 ,$26.95 ,$18.87 
ACV,055358314002,Apple Cider Vinegar 12 fl oz,$3.55 ,$5.25 ,$4.73 
BUTPD,790011048060,Bone-Up - Three Per Day 90 caps,$10.00 ,$19.95 ,$13.97 
ASTAHP,790011200413,Astaxanthin 30 softgels,$14.00 ,$27.95 ,
VIS180,790011290520,Vision Optimizer 180 caps,$28.50 ,$56.95 ,$39.87 
VIS,790011290032,Vision Optimizer 90 caps,$16.50 ,$32.95 ,$23.07 
ULTRA,790011040040,Ultra Bone-Up 120 tabs,$16.00 ,$31.95 ,$22.37 
VBU,790011040026,Bone-Up (Vegetarian) 120 tabs,$9.50 ,$18.95 ,$13.27 
ULT240,790011040057,Ultra Bone-Up  240 tabs,$23.00 ,$45.95 ,$32.17 
PD,790011030027,"Jarro-Dophilus + FOS, powder 70 gm",$12.00 ,$23.95 ,$16.77 
JSIL,790011130154,"JarroSil, Activated Silicon 1 fl oz",$8.00 ,$15.95 ,$11.17 
JSIL60,790011130178,"JarroSil, Activated Silicon 2 fl oz",$12.50 ,$24.95 ,$17.47 
MAGT,790011290629,MagMind? 90 caps,$19.50 ,$38.95 ,$27.27 
JDOR,790011030119,Jarro-Dophilus Non-FOS 100 caps,$9.00 ,$17.95 ,$12.57 
JEP15,790011030225,Jarro-Dophilus EPS 15 caps,$4.50 ,$8.95 ,$6.27 
JD300,790011030324,Jarro-Dophilus+FOS - Value Size 300 caps,$21.00 ,$41.95 ,$29.37 
GOPT,790011290025,Glucose Optimizer 120 tabs,$16.00 ,$31.95 ,$22.37 
BB,790011030102,Bifidus Balance + FOS 100 caps,$9.00 ,$17.95 ,$12.57 
ANT,790011010012,Anti-Oxidant Optimizer 90 tabs,$12.00 ,$23.95 ,$16.77 
YUMJD120,790011320050,Yum Yum Dophilus - Value Size 120 tabs,$13.00 ,$25.95 ,$18.17 
ALAS120,790011200369,Alpha Lipoic Sustain - Value Size 120 tabs,$20.00 ,$39.95 ,$27.97 
ALAS,790011200215,Alpha Lipoic Sustain 30 tabs,$7.50 ,$14.95 ,$10.47 
